,polarity_peak,Lipid.class,Lipid.species,fragmentation,adduct,other.mode,MZ.target,RT.data,init_peak,polarity,schiz_peak,healthy_predicted,rt_error,ppm_error,schiz_peak_WO_,corr_all,corr_HC,polarity_schiz_peak
202,negFT13646,PE_P,PE_P 38:3,PE(P-16:0_22:3). PE(P-18:1_20:2). PE(P-18:2_20:1),M-H,posFT30732,752.560335,8.446740723,FT13646,neg,FT16021,FT13646,0.0072681654075594,0.7198189258870142,FT16021,0.8377037717922055,0.653005355714617,negFT16021
203,negFT13642,PE_O,PE_O 38:4,PE(O-16:0_22:4). PE(O-18:1_20:3). PE(O-16:1_22:3),M-H,,752.5560445,7.880045319,FT13642,neg,FT16015,FT13642,-0.0085178192648367,0.6473325714009122,FT16015,0.2957497526439051,0.459999336956351,negFT16015
204,negFT15515,PE_P,PE_P 42:6,PE(P-20:0_22:6),M-H,posFT34352,802.5756831,9.049700928,FT15515,neg,FT18600,FT15515,0.0016595645317547,0.211138284348795,FT18600,0.764471606252308,0.6366709254956155,negFT18600
205,negFT13467,PE_P,PE_P 38:5,xxxnotpossxxx. PE(P-16:0_22:5). PE(P-18:1_20:4)???,M-H,posFT30432,748.5253838,6.894110616,FT13467,neg,FT15787,FT13467,0.0051057154239275,-0.1485778597361622,FT15787,0.7111057271493151,0.3760495621815534,negFT15787
206,negFT14737,PE_O,PE_O 40:4,PE(O-18:0_22:4),M-H,,780.5862688,9.058799235,FT14737,neg,FT17539,FT14737,0.0328162911603069,-2.630170588621652,FT17539,0.58899690719982,0.5337608720639326,negFT17539
207,negFT15516,PE_P,PE_P 42:6,PE(P-18:1_24:5),M-H,,802.5755686,8.54648234,FT15516,neg,FT18598,FT15516,-0.012217355254215,0.1267945834575182,FT18598,0.3934410269628008,0.395100860665842,negFT18598
208,negFT15444,PE_P,PE_P 42:7,PE(P-20:1_22:6),M-H,,800.5601403,7.938934326,FT15444,neg,FT18483,FT15444,-0.0017965547737706,0.0976610558653307,FT18483,0.7325712283220586,0.6968570603196361,negFT18483
209,negFT13966,PC_O,PC_O 32:1,PC(O-16:0_16:1). PC(O-18:1_14:0). PC(O-18:1_14:0),M-H+FA,posFT28390,762.5655227,6.863286845,FT13966,neg,FT16489,FT13966,-0.00380435861811,0.4231535544566999,FT16489,0.6784773891417174,0.9062070170910448,negFT16489
210,negFT16721,PC_P,PC_P 37:1,PC(P-16:0_21:1),M-H+FA,posFT32892,830.6273951,9.402034505,FT16721,neg,FT20034,FT16721,0.0012829454390264,0.1148463830853903,FT20034,0.7025407897051541,0.7763524607055183,negFT20034
211,negFT17313,PC_P,PC_P 38:1,PC(P-18:0_20:1). PC(P-16:0_22:1),M-H+FA,posFT34068,844.643745,10.14128621,FT17313,neg,FT20745,FT17313,0.0046685888958872,-0.5872843297242392,FT20745,0.6843171570834871,0.733883360281584,negFT20745
