,feature name,importance
211,48 Cingulate Anterior (BA24)_LPE 18 1,0.008145019587971836
212,47 Cingulate Posterior (BA31)_PC 40 7,0.008144534769645703
213,70 Ventral Lateral Thalamus_SM d36 2,0.008122551981529176
214,34 Dorsolateral Prefrontal (BA9)_PC 40 2,0.008070759111488647
215,68 Medial Dorsal Thalamus_Cer d42 2,0.008039566269723875
216,18 1ary Somatosensory (BA3/1/2)_PE_P 37 1,0.008012047811869047
217,"26 2ary Auditory, language (BA22a)_PS 40 5",0.008003490053085281
218,31 Supramarginal Posterior (BA40p)_PC 42 9,0.007931260873969502
219,47 Cingulate Posterior (BA31)_FA 14 0,0.007909751127192695
220,"26 2ary Auditory, language (BA22a)_TG 50 3",0.0078099641646046
221,47 Cingulate Posterior (BA31)_PC 42 9,0.007703054486218835
222,34 Dorsolateral Prefrontal (BA9)_PC 42 3,0.007697912859950823
223,19 Posterior Middle Temporal (BA37-pMT)_SM d43 2,0.00768277442374409
224,17 1ary Visual Anterior (BA17a)_SM d32 0,0.007637930492193015
225,19 Posterior Middle Temporal (BA37-pMT)_PC 37 5,0.007563485731686987
226,34 Dorsolateral Prefrontal (BA9)_PC_O 34 1,0.007554390806558949
227,22 Premotor Medial (BA6m)_TG 58 6,0.007545283572372347
228,18 1ary Somatosensory (BA3/1/2)_TG 56 5,0.00753325504952446
229,22 Premotor Medial (BA6m)_Cer d41 2,0.007532814727376264
230,2  Anterior Supramarginal (BA40a)_CE 22 4,0.007531462092898456
231,34 Dorsolateral Prefrontal (BA9)_PC 34 0,0.007493384431044025
232,18 1ary Somatosensory (BA3/1/2)_SulfoHexCer d41 1,0.0074528126844267935
233,7  Orbitofrontal (BA47)_SM d35 2,0.007441463507202258
234,73 Corpus Callosum Anterior_CAR 18 0,0.007379388801775648
235,22 Premotor Medial (BA6m)_TG 56 7,0.007213190347951669
236,22 Premotor Medial (BA6m)_TG 54 6,0.007187780860744857
237,7  Orbitofrontal (BA47)_SM d41 2,0.006863509377309535
238,19 Posterior Middle Temporal (BA37-pMT)_PC_O 32 1,0.00639036762428273
239,7  Orbitofrontal (BA47)_HexCer t41 2,0.003948205942260045
240,68 Medial Dorsal Thalamus_DG 36 4,0.003075164525158273
241,23 Insular Anterior Cortex_PC 40 1,0.0027318957403236906
242,75 Cerebellar White Matter_PC_P 38 5,0.0024854768204340353
243,64 Globus Pallidus_PC 46 5,0.0021156347266984257
244,70 Ventral Lateral Thalamus_Cer m38 1,0.0020777117512703453
245,"26 2ary Auditory, language (BA22a)_SM d34 0",0.0020531760831148187
246,22 Premotor Medial (BA6m)_TG 54 5,0.0018682618882258412
247,7  Orbitofrontal (BA47)_FA 22 1,0.0016546127794079663
248,72 Internal Capsule_DG 36 4,0.0016364558744763307
249,19 Posterior Middle Temporal (BA37-pMT)_HexCer d41 1,0.0016015286544973017
250,22 Premotor Medial (BA6m)_SM d37 1,0.001597180951546874
251,34 Dorsolateral Prefrontal (BA9)_DG 36 1,0.0015926213069513057
252,37 2ary Auditory Anterior (BA21a)_PE 42 10,0.00158932771472942
253,75 Cerebellar White Matter_PG 42 9,0.0015702696377007561
254,74 Corpus Callosum Posterior_PE 40 6,0.0015440072543007257
255,23 Insular Anterior Cortex_PC_O 34 2,0.0014930410378789095
256,68 Medial Dorsal Thalamus_LPC 22 6,0.0014560599427859346
257,68 Medial Dorsal Thalamus_PC_O 38 1,0.0013866673115156636
258,34 Dorsolateral Prefrontal (BA9)_HexCer d42 1,0.0013321040750385923
259,7  Orbitofrontal (BA47)_PE 35 2,0.0012942528980440305
260,18 1ary Somatosensory (BA3/1/2)_SM d40 2,0.001266357286548515
261,68 Medial Dorsal Thalamus_DG 36 2,0.0012268131514847637
262,44 Dorsolateral Prefrontal (BA46)_PE_P 34 0,0.0012222115358488314
263,7  Orbitofrontal (BA47)_PC 37 4,0.001218216370291355
264,7  Orbitofrontal (BA47)_PE 36 5,0.001214426811595009
265,17 1ary Visual Anterior (BA17a)_LPE 20 2,0.0011952490238289085
266,70 Ventral Lateral Thalamus_DG 37 4,0.0011782961066277061
267,23 Insular Anterior Cortex_DG 42 4,0.001177816709137292
268,31 Supramarginal Posterior (BA40p)_PE 42 10,0.0010797152726286952
269,72 Internal Capsule_PE_P 42 4,0.0010783198504316386
270,64 Globus Pallidus_TG 58 7,0.0010706670483273395
271,70 Ventral Lateral Thalamus_PI 38 4,0.0010570081412487329
272,68 Medial Dorsal Thalamus_SM d41 2,0.0010493581215616993
273,68 Medial Dorsal Thalamus_DG 36 1,0.0010332315940877143
274,18 1ary Somatosensory (BA3/1/2)_PC 37 2,0.001009972031277783
275,18 1ary Somatosensory (BA3/1/2)_PE_P 36 5,0.0009906516082889621
276,70 Ventral Lateral Thalamus_LPC 22 4,0.000923203432182385
