,feature name,importance
167,14 1ary Visual Posterior (BA17p)_PC_O 30 0,0.01962822056688583
168,41 Angular (BA39)_PC 46 5,0.01839002476683489
169,14 1ary Visual Posterior (BA17p)_PC 31 1,0.017966439102214696
170,3  Posterior Superior Parietal (BA7p)_PE 40 6,0.017380594983925527
171,"28 2ary Auditory, Wernicke (BA22p)_Cer m38 1",0.016550697155593864
172,53 Insular Posterior Cortex_DG 38 4,0.016020011665715105
173,41 Angular (BA39)_PC_P 38 2,0.013570330418724843
174,"28 2ary Auditory, Wernicke (BA22p)_LPE 20 4",0.012420904970264218
175,53 Insular Posterior Cortex_TG 56 4,0.012377026252566975
176,"28 2ary Auditory, Wernicke (BA22p)_LPC 20 4",0.01222536031035334
177,"28 2ary Auditory, Wernicke (BA22p)_FA 17 1",0.011131110822393993
178,50 Orbitofrontal (BA11)_PE 42 10,0.01019792819666623
179,"65 Hippocampus, CA1_CE 20 3",0.009939704632681219
180,72 Internal Capsule_PC_P 36 2,0.009701278481015154
181,"28 2ary Auditory, Wernicke (BA22p)_Cer d38 2",0.009689902319086724
182,53 Insular Posterior Cortex_PE_P 35 1,0.009386123464996066
183,41 Angular (BA39)_PG 40 8,0.009268402468906443
184,52 Amygdala_TG 52 4,0.009169083991374106
185,"28 2ary Auditory, Wernicke (BA22p)_FA 22 4",0.009096830632887442
186,72 Internal Capsule_PC_P 34 1,0.009090270698997987
187,74 Corpus Callosum Posterior_CE 20 3,0.008862707022347456
188,"28 2ary Auditory, Wernicke (BA22p)_PC 31 1",0.008861071373888195
189,36 FEF Medial (BA8m)_PE 42 10,0.008859317538701264
190,25 Posterior Inferior Temporal (BA20p)_SM d32 0,0.008637671880459951
191,64 Globus Pallidus_PE 38 5,0.008588616143399315
192,"28 2ary Auditory, Wernicke (BA22p)_LPC 18 1",0.00855522780169508
193,64 Globus Pallidus_SM d42 1,0.008535074194243486
194,25 Posterior Inferior Temporal (BA20p)_LPE 22 4,0.008511737498108008
195,53 Insular Posterior Cortex_PE_P 32 1,0.008441618248636469
196,"28 2ary Auditory, Wernicke (BA22p)_PC 37 4",0.008408953261595704
197,14 1ary Visual Posterior (BA17p)_DG 40 4,0.008367852754690364
198,3  Posterior Superior Parietal (BA7p)_PE 37 4,0.008348842895041392
